district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Palghar,P99000007052,RELIABLE TOWNSHIP /RT-C TO K WING,RELIABLE REALTORS,401208,"('19.391805000000001','72.857588000000007')",On-Going Project,12/19/2017,12/31/2017,12/31/2018,Residential,3746.47,2364.03,5044.91,11/11/2019,,,220.0,189.0,0.0,9.0,0.0,45.0,0.0,186.0,0.0,0.0,0.0,0.0
Palghar,P99000010435,SHUBHANGAN,S.H.ENTERPRISE,401203,"('19.416676100000000','72.798370500000004')",On-Going Project,03/01/2018,03/01/2018,,Residential,2327.69,270.34,2327.69,08/10/2022,,,77.0,75.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000005302,STAR BUILDERS AND DEVELOPERS,STAR BUILDERS & DEVELOPERS,401303,"('19.434428900000000','72.922432900000004')",On-Going Project,11/30/2014,12/31/2017,,Residential,770.0,0.0,770.0,08/05/2021,,,46.0,46.0,0.0,1.0,0.0,8.0,1.0,20.0,1.0,0.0,0.0,0.0
Palghar,P99000003390,RELIABLE TOWNSHIP / RT- L TO O WING,RELIABLE REALTORS,401208,"('19.391432999999999','72.858179000000007')",On-Going Project,12/19/2017,12/31/2017,12/31/2018,Others,1950.0,1353.95,1597.77,11/11/2019,,,96.0,72.0,0.0,4.0,0.0,20.0,0.0,56.0,0.0,0.0,0.0,0.0
Palghar,P99000008080,PARSHWANATH DARSHAN,PARSHWANATH DEVELOPERS,401404,"('19.708414699999999','72.923770500000003')",On-Going Project,12/31/2022,12/30/2024,,Residential,9000.0,900.0,6643.23,07/31/2017,,,144.0,19.0,0.0,7.0,0.0,22.0,7.0,12.0,7.0,0.0,0.0,0.0
Palghar,P99000010239,BHAVANI HEIGHTS,Bhavani Developers,401303,"('19.469906999999999','72.797836000000004')",On-Going Project,12/31/2019,12/31/2019,12/30/2023,Residential,703.46,844.0,1952.58,01/03/2024,,,47.0,27.0,0.0,1.0,0.0,13.0,1.0,0.0,12.0,0.0,0.0,0.0
Palghar,P99000003731,JAAI PHASE I,VERSATILEREALTORSPRIVATELIMITED,401209,"('19.427658999999998','72.817575000000005')",On-Going Project,12/31/2019,12/31/2019,,Residential,785.28,894.83,4474.14,04/12/2023,,,105.0,61.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Palghar,P99000010523,Bhagirathi C Wing,Chittaranjan Estates Pvt. Ltd.,421312,"('19.638003399999999','73.130185800000007')",On-Going Project,08/31/2018,10/31/2018,03/30/2024,Residential,423.37,0.0,1270.11,09/08/2023,,,27.0,7.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
Palghar,P99000011985,SAI SIDDHANT PALACE,SAI SIDDHANT ENTERPRISES,401209,"('19.405448600000000','72.830869199999995')",On-Going Project,04/10/2018,04/10/2018,12/30/2021,Residential,6696.86,6696.86,6696.86,06/29/2023,,,151.0,151.0,0.0,3.0,3.0,39.0,3.0,0.0,3.0,0.0,0.0,0.0
Palghar,P99000009807,Sankalp Heights Building No 2 D E F Wing Phase 1 Ground plus 7th Floor and Phase 2 8th plus 12 floor,Sankalp Builders and Developers,401203,"('19.429752000000001','72.808248000000006')",On-Going Project,12/31/2016,12/30/2024,,Residential,737.6,699.27,3496.36,04/26/2023,,2.0,202.0,69.0,0.0,1.0,0.0,13.0,1.0,6.0,1.0,0.0,0.0,0.0
Palghar,P99000012749,Adiraj status,shree adiraj laxmi builders Pvt. ltd,401203,"('19.426808999999999','72.815980999999994')",On-Going Project,12/31/2018,12/31/2019,12/31/2024,Residential,3326.25,0.0,3326.35,01/01/2024,,3.0,169.0,143.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000008968,VIVA MALL,VIVA JIVDANI ASSOCIATES,401303,"('19.404927000000001','72.829288000000005')",On-Going Project,02/28/2017,03/31/2018,,Residential,4986.0,743.83,7715.55,07/31/2017,,,372.0,314.0,2.0,3.0,0.0,14.0,0.0,42.0,0.0,0.0,0.0,0.0
Palghar,P99000009979,OPAL FAIRY BELL,SYLVA LAND DEVELOPERS,401202,"('19.374447000000000','72.814530000000005')",On-Going Project,05/01/2021,05/01/2023,,Others,3060.0,302.81,3008.83,04/25/2022,,,68.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Palghar,P99000006502,Regency Homes,WILSON V MANUEL GONSALVES,401202,"('19.372959500000000','72.822006400000006')",On-Going Project,06/30/2019,06/30/2019,,Residential,1780.0,142.78,1425.91,08/06/2021,,,32.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
