district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600007396,MONSOON MEADOWS,Ankit Nitin Kothari,422403,"('18.500610100000000','73.757399100000000')",On-Going Project,06/30/2022,12/30/2022,12/31/2024,Residential,938.0,0.0,1125.6,03/27/2023,,,27.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600003352,Gurudev Heights,Amit Gangadhar Jadhav,422009,"('19.068535500000000','72.900320900000000')",On-Going Project,12/31/2018,12/31/2018,,Others,802.5,0.0,1272.5,01/17/2023,,,20.0,14.0,0.0,1.0,0.0,5.0,1.0,0.0,10.0,0.0,0.0,0.0
Nashik,P51600006062,VIJAY GALAXY,JAYDEVELOPERS,422003,"('19.034104000000000','73.331077600000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,1280.0,0.0,2147.25,04/18/2023,,,64.0,64.0,0.0,1.0,0.0,9.0,1.0,8.0,1.0,0.0,0.0,0.0
Nashik,P51600006366,EKA PHASE II - E BUILDING,Amit Builders,422010,"('19.944753630752384','73.774350340045200')",On-Going Project,12/31/2014,12/31/2019,,Residential,1342.25,10262.9,6511.32,12/15/2023,4.0,1.0,96.0,53.0,0.0,1.0,0.0,13.0,1.0,60.0,36.0,0.0,0.0,0.0
Nashik,P51600012034,VIJAY ANNEX,JAY DEVELOPERS,422006,"('19.117753000000000','72.873701700000000')",On-Going Project,12/31/2018,12/31/2018,06/30/2024,Others,1497.39,0.0,1996.68,05/02/2023,,,58.0,54.0,0.0,1.0,0.0,8.0,1.0,18.0,16.0,0.0,0.0,0.0
Nashik,P51600006998,SHREERAM CASTLE,SHREERAM BUILDERS AND DEVELOPERS,422002,"('19.055169500000000','72.829951800000000')",On-Going Project,07/31/2018,07/31/2018,,Residential,932.49,0.0,1106.45,12/23/2019,,,18.0,9.0,0.0,1.0,0.0,5.0,1.0,0.0,45.0,0.0,0.0,0.0
Nashik,P51600003946,OMKAR APARTMENT,VIMALBHAI PARBATBHAI TOGADIYA,422003,"('19.159339600000000','72.842685800000000')",On-Going Project,09/01/2017,12/31/2017,,Residential,485.1,0.0,679.14,12/14/2019,,,16.0,16.0,0.0,1.0,0.0,5.0,1.0,0.0,16.0,0.0,0.0,0.0
Nashik,P51600004324,SAI SAGAR A,NASA CONSTRUCTION PVT.LTD.,422003,"('18.683111200000000','73.797792800000000')",New Project,01/01/2021,,,Residential,428.4,0.0,625.36,02/27/2020,,,16.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600009453,Le Regalia Phase I BLDG C AND D,M/s. ShreePrakash Creative Buildcon J.V.,422010,"('19.122734600000000','72.830201300000000')",On-Going Project,12/31/2017,12/31/2017,,Residential,3865.95,356.5,4719.66,11/22/2023,,,92.0,45.0,0.0,2.0,0.0,18.0,2.0,15.0,2.0,0.0,0.0,0.0
Nashik,P51600011816,VIJAY ROYAL,JAY DEVELOPERS,422006,"('19.159339600000000','72.842685800000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,1179.2,0.0,1156.61,05/09/2023,,,24.0,24.0,0.0,1.0,0.0,4.0,1.0,20.0,1.0,0.0,0.0,0.0
Nashik,P51600004658,FOG CITY PHASE-2 SLR,SHRUSHTI LANDMARK & RESORTS PVT. LTD.,422403,"('18.505242800000000','73.766112900000000')",On-Going Project,12/31/2019,12/31/2019,,Residential,38100.0,3033.49,2688.01,11/21/2022,,,74.0,8.0,4.0,5.0,1.0,18.0,1.0,45.0,1.0,0.0,0.0,0.0
Nashik,P51600007264,GOVINDA B,SAI ANAND BUILDERS,422003,"('19.123928500000000','72.909440700000000')",On-Going Project,12/31/2017,12/31/2018,12/31/2019,Residential,282.7,0.0,389.49,04/29/2023,,,12.0,10.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0
Nashik,P51600008064,NIRMITI LIFESPACE,NIRMITI LIFESTYLE,422007,"('18.503532700000000','73.761538600000000')",On-Going Project,03/31/2018,03/31/2018,,Residential,987.0,0.0,974.33,12/13/2019,,,36.0,11.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600009791,GOVIND GALAXY,GOVIND BHAUSAHEB MADHWAI,422003,"('19.207236600000000','72.834822100000000')",On-Going Project,09/20/2017,12/31/2017,,Residential,558.65,0.0,779.88,01/31/2023,,,18.0,16.0,0.0,1.0,0.0,4.0,1.0,0.0,18.0,0.0,0.0,0.0
Nashik,P51600006443,PRABHU SPARSH,PACIFIC HOUSING CORPORATION,422008,"('19.890263400000000','75.323544000000000')",On-Going Project,03/31/2018,03/31/2018,,Residential,1345.0,140.0,1684.97,07/26/2021,,,29.0,29.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
