district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Thane,P51700046980,LARKINS NEST,PRIDE PROPERTY DEVELOPERS,400615,"('19.218330700000000','72.978089700000000')",New Project,12/31/2025,,,Others,1813.95,0.0,10207.66,10/31/2023,1.0,,171.0,0.0,0.0,1.0,0.0,19.0,1.0,0.0,114.0,0.0,0.0,0.0
Thane,P51700047438,Amore Empire,M/s. Dhiwisha Realty,400702,,New Project,03/31/2027,,,Others,9595.12,961.55,9559.74,10/11/2022,,,132.0,0.0,0.0,3.0,3.0,27.0,1.0,257.0,1.0,0.0,0.0,0.0
Thane,P51700046663,Dashmesh Empire,Dashmesh Infrastructure,421503,"('19.143574100000000','73.248745400000000')",New Project,06/30/2027,,,Others,2430.0,0.0,7171.32,01/15/2024,,,139.0,19.0,0.0,1.0,0.0,14.0,1.0,187.0,1.0,0.0,0.0,0.0
Thane,P51700046845,OM SWAMI APARTMENT,VIRAJ ENTERPRISES,421503,,New Project,12/31/2025,,,Others,534.2,0.0,1866.66,02/20/2024,,,44.0,0.0,0.0,1.0,0.0,7.0,1.0,51.0,0.0,0.0,0.0,0.0
Thane,P51700046976,SATYAM SHEELA WING F,SHREEJI DEVELOPERS,421503,,New Project,07/31/2026,,,Residential,3318.7,770.0,7244.1,01/17/2024,,,141.0,12.0,0.0,1.0,0.0,12.0,1.0,149.0,0.0,0.0,0.0,0.0
Thane,P51700046550,Runwal Gardens Phase 4 Bldg No. 38,Runwal Residency Private Limited,421201,,New Project,06/30/2026,,,Residential,536.68,0.0,17831.1,01/29/2024,,,250.0,235.0,1.0,1.0,0.0,32.0,1.0,0.0,24.0,0.0,0.0,0.0
Thane,P51700046668,BHAWANI CHS WING A AND B,THAKUR CONSTRUCTION,421503,"('19.162687290466785','73.251075545804200')",New Project,12/31/2024,,,Residential,947.0,0.0,2557.93,08/18/2022,,,54.0,0.0,0.0,2.0,0.0,13.0,2.0,0.0,73.0,0.0,0.0,0.0
Thane,P51700048582,OMKARR SINDHU RESIDENCY,BLUESKY REALTY,421004,"('19.218330700000000','72.978089700000000')",New Project,08/31/2024,,,Residential,482.63,0.0,1491.94,01/22/2024,,,16.0,0.0,0.0,1.0,0.0,6.0,1.0,31.0,1.0,0.0,0.0,0.0
Thane,P51700047064,SUDAMA ELEVATE,SUDAM ZIPA RASAL,421502,"('19.216998414087023','73.202664728117740')",New Project,12/31/2025,,,Residential,4640.0,0.0,10129.39,12/30/2023,,,194.0,58.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700046777,Rumah Bali Phase 4,Puranik Builders Limited,400615,,New Project,12/31/2028,,,Residential,4158.63,0.0,13246.33,02/05/2024,6.0,,406.0,233.0,0.0,2.0,6.0,68.0,2.0,0.0,48.0,0.0,0.0,0.0
